sample_id	attr_value	attr_type	attr_category
1012	NASW	Longhurst Province	Environment
1013	NASW	Longhurst Province	Environment
1014	NASW	Longhurst Province	Environment
1015	NASW	Longhurst Province	Environment
1016	NASW	Longhurst Province	Environment
1017	NASW	Longhurst Province	Environment
1018	NASW	Longhurst Province	Environment
1019	NASW	Longhurst Province	Environment
1020	NASW	Longhurst Province	Environment
1021	NASW	Longhurst Province	Environment
1022	NASW	Longhurst Province	Environment
1023	NASW	Longhurst Province	Environment
1024	NASW	Longhurst Province	Environment
1025	NASW	Longhurst Province	Environment
1026	NASW	Longhurst Province	Environment
1027	NASW	Longhurst Province	Environment
1028	NASW	Longhurst Province	Environment
1029	NASW	Longhurst Province	Environment
1030	NASW	Longhurst Province	Environment
1031	NASW	Longhurst Province	Environment
1032	NASW	Longhurst Province	Environment
1033	NASW	Longhurst Province	Environment
1034	NASW	Longhurst Province	Environment
1035	NASW	Longhurst Province	Environment
1036	NASW	Longhurst Province	Environment
1037	NASW	Longhurst Province	Environment
1038	NASW	Longhurst Province	Environment
1039	NASW	Longhurst Province	Environment
1040	NASW	Longhurst Province	Environment
1041	NASW	Longhurst Province	Environment
