sample_id	class	family	phylum	genus	species
893		Flavobacteriia	Flavobacteriaceae	Bacteroidetes	Polaribacter	irgensii
894		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Pseudovibrio	sp. JE062
895		Planctomycetia	Planctomycetaceae	Planctomycetes	Planctomyces	maris
896		Deltaproteobacteria	Nannocystaceae	Proteobacteria	Plesiocystis	pacifica
897		Gammaproteobacteria	Pseudoalteromonadaceae	Proteobacteria	Pseudoalteromonas	tunicata
898		Gammaproteobacteria	Pseudoalteromonadaceae	Proteobacteria	Pseudoalteromonas	sp. Tw2
899		Alphaproteobacteria		Proteobacteria	Pelagibacter	ubique
900			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	sp. UH18301
901		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Pelagibaca	bermudensis
902		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Ahrensia	sp. R2A130
903		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	sp. R2A57
904		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	sp. AzwK-3b
905		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria		
906		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria		
907		Flavobacteriia	Flavobacteriaceae	Bacteroidetes	Robiginitalea	biformata
908		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Maritimibacter	alkaliphilus
909		Alphaproteobacteria		Proteobacteria		
910		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	sp. CCS2
911		Gammaproteobacteria	Oceanospirillaceae	Proteobacteria	Bermanella	marisrubri
912		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Phaeobacter	gallaeciensis
913		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	sp. GAI101
914		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Phaeobacter	inhibens
915		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria		
916		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	litoralis
917		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseovarius	sp. 217
918		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Ruegeria	sp. R11
919				Cyanobacteria	Synechococcus	sp. RS9916
920				Cyanobacteria	Synechococcus	sp. RS9917
921		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseobacter	sp. SK209-2-6
922		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseovarius	sp. TM1035
923				Cyanobacteria	Synechococcus	sp. PCC 7335
924		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Labrenzia	alexandrii
925		Alphaproteobacteria		Proteobacteria		
926		Epsilonproteobacteria	Campylobacteraceae	Proteobacteria	Sulfurospirillum	sp. Am-N
927				Bacteroidetes		
928		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Ruegeria	Silicibacter sp. TrichCH4B
929				Cyanobacteria	Synechococcus	sp. WH 8109
930		Alphaproteobacteria	Aurantimonadaceae	Proteobacteria	Aurantimonas	manganoxydans
931		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Labrenzia	aggregata
932		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Photobacterium	sp. SKA34
933		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Loktanella	vestfoldensis
934		Alphaproteobacteria	Sphingomonadaceae	Proteobacteria	Sphingomonas	sp. SKA58
935		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Ruegeria	lacuscaerulensis
936				Cyanobacteria	Synechococcus	sp. M11.1
937				Cyanobacteria	Synechococcus	sp. M16.17
938		Zetaproteobacteria	Mariprofundaceae	Proteobacteria	Mariprofundus	ferrooxydans
939		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Sagittula	stellata
940		Gammaproteobacteria	Xanthomonadaceae	Proteobacteria	Stenotrophomonas	sp. SKA14
941		Betaproteobacteria	Rhodocyclaceae	Proteobacteria	Thauera	aromatica
942		Thermococci	Thermococcaceae	Euryarchaeota	Thermococcus	sp. AM4
943		Gammaproteobacteria	Thiotrichaceae	Proteobacteria	Thioploca	araucae
944		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Thalassobium	sp. R2A62
945		Alphaproteobacteria	Rhodospirillaceae	Proteobacteria	Thalassospira	sp. TrichSKD10
